fyear,tic,ACT,AT,C&E,COGS,SHARE,TD,IB,CL,NI,CFO,REVT
2000,HSII,336.381,523.644,184.836,379.005,19.373,1.745,19.417,216.041,19.417,89.359,594.394
2001,HSII,239.851,411.106,108.732,285.192,18.041,4.439,-47.421,147.182,-42.927,-20.493,455.534
2002,HSII,198.476,363.064,110.22,253.201,18.152,1.455,-40.162,118.971,-40.162,6.03,376.845
2003,HSII,178.349,304.032,119.289,228.247,18.34,0.594,-80.668,113.534,-80.668,10.404,340.617
2004,HSII,290.17,421.284,222.753,259.248,19.159,0.027,82.308,139.972,82.308,25.659,398.176
2005,HSII,281.779,410.922,203.689,283.257,18.578,0,39.218,121.815,39.218,33.423,432.85
2006,HSII,333.678,519.77,220.815,341.803,17.744,0,34.243,202.592,34.243,99.767,501.994
2007,HSII,402.698,616.884,282.855,436.285,17.272,0,56.463,253.699,56.463,105.806,648.266
2008,HSII,354.27,586.957,234.531,453.718,16.37,0,39.074,227.395,39.074,51.391,644.86
2009,HSII,241.454,474.847,125.432,289.347,17.073,0,-20.908,113.793,-20.908,-72.729,414.718
2010,HSII,312.466,545.027,181.517,348.739,17.558,0,7.493,172.456,7.493,83.54,513.236
2011,HSII,310.325,515.565,185.83,388.33,17.87,0,-33.722,185.09,-33.722,44.774,553.98
2012,HSII,226.282,494.992,117.804,320.005,17.994,0,6.24,152.396,6.24,12.493,465.081
2013,HSII,290.774,553.224,181.776,319.297,18.134,35.5,6.347,175.787,6.347,44.033,480.993
2014,HSII,330.329,568.701,217.853,356.395,18.24,29.5,6.797,205.898,6.797,56.764,513.239
2015,HSII,308.963,572.718,197.649,386.557,18.379,0,17.132,229.43,17.132,57.583,548.311
2016,HSII,298.43,581.502,165.011,417.986,18.578,0,15.413,220.592,15.413,24.823,600.906
2017,HSII,343.79,587.204,207.534,451.375,18.781,0,-48.635,265.792,-48.635,66.97,640.056
2000,FFIV,100.633,122.42,53.017,30.271,21.613,0,13.65,34.735,13.65,9.826,108.645
