Ticker,Date,Price,Returns,Shares
SGMA,20150831,6,-0.069753,4166
SGMA,20150930,6.8682,0.1447,4166
SGMA,20151030,6.62,-0.036138,4170
SGMA,20151130,6.33,-0.043807,4170
SGMA,20151231,7.53,0.189574,4170
SGMA,20160129,6.6,-0.123506,4172
SGMA,20160229,6.7,0.015152,4172
SGMA,20160331,6.21,-0.073134,4172
SGMA,20160429,6.15,-0.009662,4184
SGMA,20160531,5.88,-0.043902,4184
SGMA,20160630,6.08,0.034014,4184
SGMA,20160729,5.8818,-0.032599,4184
SGMA,20160831,6.53,0.110204,4184
SGMA,20160930,5.44,-0.166922,4186
SGMA,20161031,5.2605,-0.032996,4187
SGMA,20161130,5.2,-0.011501,4187
SGMA,20161230,4.73,-0.090385,4187
SGMA,20170131,4.505,-0.047569,4187
SGMA,20170228,4.15,-0.078801,4187
SGMA,20170331,5.1177,0.233181,4187
SGMA,20170428,5.41,0.057115,4196
SGMA,20170531,6.975,0.289279,4196
SGMA,20170630,6.43,-0.078136,4196
SGMA,20170731,8.36,0.300155,4200
SGMA,20170831,8.42,0.007177,4200
SGMA,20170929,8.37,-0.005938,4201
SGMA,20171031,9.61,0.148148,4203
SGMA,20171130,9.7,0.009365,4203
SGMA,20171229,10.12,0.043299,4211
SGMA,20180131,9.023,-0.108399,4215
FLEX,20120131,6.87,0.213781,687028
FLEX,20120229,7.05,0.026201,687028
FLEX,20120330,7.22,0.024113,683740
FLEX,20120430,6.675,-0.075485,683740
FLEX,20120531,6.42,-0.038202,669783
FLEX,20120629,6.2,-0.034268,665374
FLEX,20120731,6.41,0.033871,665498
FLEX,20120831,6.73,0.049922,665498
FLEX,20120928,6,-0.10847,667125
FLEX,20121031,5.77,-0.038333,663220
FLEX,20121130,5.795,0.004333,663220
FLEX,20121231,6.21,0.071613,655515
FLEX,20130131,6.21,0,655827
FLEX,20130228,6.65,0.070853,655827
FLEX,20130328,6.76,0.016541,638920
FLEX,20130430,7.15,0.057692,638920
FLEX,20130531,7.46,0.043357,625660
FLEX,20130628,7.74,0.037533,617359
FLEX,20130731,8.66,0.118863,612132
FLEX,20130830,8.98,0.036951,612132
FLEX,20130930,9.09,0.01225,607574
FLEX,20131031,7.89,-0.132013,607783
FLEX,20131129,7.58,-0.03929,607783
FLEX,20131231,7.77,0.025066,602229
FLEX,20140131,8.15,0.048906,602407
FLEX,20140228,8.95,0.09816,602407
FLEX,20140331,9.24,0.032402,591427
FLEX,20140430,8.99,-0.027056,591427
FLEX,20140530,10.17,0.131257,585457
FLEX,20140630,11.07,0.088496,589062
FLEX,20140731,10.39,-0.061427,588159
FLEX,20140829,11.04,0.06256,588159
FLEX,20140930,10.32,-0.065217,580432
FLEX,20141031,10.72,0.03876,578974
FLEX,20141128,11.09,0.034515,578974
FLEX,20141231,11.18,0.008115,573038
FLEX,20150130,11.12,-0.005367,572376
FLEX,20150227,12.18,0.095324,572376
FLEX,20150331,12.675,0.04064,563323
FLEX,20150430,11.525,-0.09073,563323
FLEX,20150529,12.15,0.05423,563994
FLEX,20150630,11.31,-0.069136,567831
FLEX,20150731,11.01,-0.026525,566491
FLEX,20150831,10.51,-0.045413,566491
FLEX,20150930,10.54,0.002854,557297
FLEX,20151030,11.39,0.080645,556305
FLEX,20151130,11.25,-0.012292,556305
FLEX,20151231,11.21,-0.003556,550748
FLEX,20160129,10.48,-0.06512,548585
FLEX,20160229,10.86,0.03626,548585
FLEX,20160331,12.06,0.110497,544824
FLEX,20160429,12.15,0.007463,544824
FLEX,20160531,12.45,0.024691,542803
FLEX,20160630,11.8,-0.052209,545468
FLEX,20160729,12.67,0.073729,546158
FLEX,20160831,13.24,0.044988,546158
FLEX,20160930,13.62,0.028701,540565
FLEX,20161031,14.19,0.04185,540003
FLEX,20161130,14.24,0.003524,540003
FLEX,20161230,14.37,0.009129,536579
FLEX,20170131,15.67,0.090466,535221
FLEX,20170228,16.49,0.052329,535221
FLEX,20170331,16.8,0.018799,531295
FLEX,20170428,15.46,-0.079762,531295
FLEX,20170531,17.26,0.11643,529914
FLEX,20170630,16.31,-0.055041,532651
FLEX,20170731,15.99,-0.01962,532376
FLEX,20170831,16.27,0.017511,532376
FLEX,20170929,16.57,0.018439,528928
FLEX,20171031,17.8,0.074231,528472
FLEX,20171130,18.07,0.015169,528472
FLEX,20171229,17.99,-0.004427,527590
FLEX,20180131,18.01,0.001112,527665
AZPN,20120131,18.01,0.03804,93703
AZPN,20120229,20.56,0.141588,93703
AZPN,20120330,20.53,-0.001459,93658
AZPN,20120430,19.78,-0.036532,93574
AZPN,20120531,22.1,0.11729,93574
AZPN,20120629,23.15,0.047511,93466
AZPN,20120731,23.38,0.009935,93466
AZPN,20120831,24.38,0.042772,93237
AZPN,20120928,25.84,0.059885,93539
AZPN,20121031,24.78,-0.041022,93334
AZPN,20121130,25.99,0.04883,93334
AZPN,20121231,27.64,0.063486,93616
AZPN,20130131,30.6,0.107091,93456
AZPN,20130228,30.76,0.005229,93456
AZPN,20130328,32.29,0.04974,93901
AZPN,20130430,30.48,-0.056055,93709
AZPN,20130531,30.62,0.004593,93709
AZPN,20130628,28.79,-0.059765,93684
AZPN,20130731,32.54,0.130254,93684
AZPN,20130830,33.43,0.027351,93387
AZPN,20130930,34.55,0.033503,93230
AZPN,20131031,38.15,0.104197,93002
AZPN,20131129,39.53,0.036173,93002
AZPN,20131231,41.8,0.057425,92617
AZPN,20140131,45.57,0.090191,92505
AZPN,20140228,46.94,0.030064,92505
AZPN,20140331,42.36,-0.097571,92254
AZPN,20140430,42.99,0.014873,92072
AZPN,20140530,42.99,0,92072
AZPN,20140630,46.4,0.079321,91662
AZPN,20140731,43.44,-0.063793,91662
AZPN,20140829,41.09,-0.054098,91270
AZPN,20140930,37.72,-0.082015,90766
AZPN,20141031,36.93,-0.020944,90471
AZPN,20141128,37.74,0.021933,90471
AZPN,20141231,35.02,-0.072072,88868
AZPN,20150130,35.345,0.00928,88223
AZPN,20150227,38.605,0.092234,88223
AZPN,20150331,38.49,-0.002979,86038
AZPN,20150430,44.39,0.153287,85384
AZPN,20150529,42.8,-0.035819,85384
AZPN,20150630,45.55,0.064252,84504
AZPN,20150731,44.38,-0.025686,84504
AZPN,20150831,37.87,-0.146688,84016
AZPN,20150930,37.91,0.001056,83265
AZPN,20151030,41.39,0.091796,83285
AZPN,20151130,43.95,0.061851,83285
AZPN,20151231,37.76,-0.140842,83389
AZPN,20160129,32.44,-0.14089,83389
AZPN,20160229,32.97,0.016338,83389
AZPN,20160331,36.13,0.095845,82031
AZPN,20160429,38.03,0.052588,81867
AZPN,20160531,38.12,0.002367,81867
AZPN,20160630,40.24,0.055614,80178
AZPN,20160729,41.89,0.041004,80178
AZPN,20160831,45.46,0.085223,79738
AZPN,20160930,46.79,0.029257,77468
AZPN,20161031,49.24,0.052362,77231
AZPN,20161130,52.83,0.072908,77231
AZPN,20161230,54.68,0.035018,76245
AZPN,20170131,53.11,-0.028713,76072
AZPN,20170228,58.14,0.094709,76072
AZPN,20170331,58.92,0.013416,74662
AZPN,20170428,61.49,0.043619,74496
AZPN,20170531,61.16,-0.005367,74496
AZPN,20170630,55.26,-0.096468,73421
AZPN,20170731,56.87,0.029135,73421
AZPN,20170831,63.25,0.112186,73099
AZPN,20170929,62.81,-0.006957,72707
AZPN,20171031,64.52,0.027225,72535
AZPN,20171130,66.92,0.037198,72535
AZPN,20171229,66.2,-0.010759,72034
AZPN,20180131,77.45,0.16994,71939
SSYS,20120131,36.75,0.208484,21246
SSYS,20120229,36.84,0.002449,21246
SSYS,20120330,36.52,-0.008686,21291
SSYS,20120430,51.21,0.402245,21291
SSYS,20120531,47.52,-0.072056,21291
SSYS,20120629,49.5,0.041667,21338
SSYS,20120731,61.28,0.23798,21338
SSYS,20120831,64.66,0.055157,21336
SSYS,20120928,54.4,-0.158676,21814
SSYS,20121031,66.67,0.225551,21814
SSYS,20121130,74.95,0.124194,21814
SSYS,20121231,80.15,0.06938,38372
SSYS,20130131,78.48,-0.020836,38381
SSYS,20130228,63.112,-0.195821,38477
SSYS,20130328,74.22,0.176005,38477
SSYS,20130430,83.05,0.118971,38477
SSYS,20130531,84.05,0.012041,38477
SSYS,20130628,83.74,-0.003688,38477
SSYS,20130731,88.65,0.058634,38477
SSYS,20130830,107.27,0.210039,38477
SSYS,20130930,101.26,-0.056027,48738
SSYS,20131031,113.28,0.118704,48738
SSYS,20131129,117.77,0.039636,48738
SSYS,20131231,134.7,0.143755,49211
SSYS,20140131,120.56,-0.104974,49259
SSYS,20140228,127.13,0.054496,49259
SSYS,20140331,106.09,-0.1655,49259
SSYS,20140430,96.87,-0.086907,49259
SSYS,20140530,93.02,-0.039744,49259
SSYS,20140630,113.63,0.221565,49412
SSYS,20140731,100.58,-0.114846,49412
SSYS,20140829,119.96,0.192682,49412
SSYS,20140930,120.78,0.006836,50898
SSYS,20141031,120.36,-0.003477,50898
SSYS,20141128,101.97,-0.152792,50898
SSYS,20141231,83.11,-0.184956,50923
SSYS,20150130,79.49,-0.043557,50924
SSYS,20150227,62.06,-0.219273,50924
SSYS,20150331,52.78,-0.149533,50924
SSYS,20150430,37.45,-0.290451,50924
SSYS,20150529,35.56,-0.050467,50924
SSYS,20150630,34.93,-0.017717,50924
SSYS,20150731,30.73,-0.120241,50924
SSYS,20150831,30.66,-0.002278,52027
SSYS,20150930,26.49,-0.136008,52027
SSYS,20151030,25.5,-0.037373,52027
SSYS,20151130,25,-0.019608,52027
SSYS,20151231,23.48,-0.0608,52082
